,0
1445,28
1446,28
1447,28
1448,30
1449,31
1450,27
1451,26
1452,25
1453,23
1454,21
1455,23
1456,27
1457,23
1458,26
1459,27
1460,27
1461,25
1462,25
1463,28
1464,30
1465,29
1466,31
1467,27
1468,30
1469,27
1470,31
1471,30
1472,32
1473,31
1474,33
1475,31
1476,27
1477,29
1478,29
1479,32
1480,32
1481,34
1482,33
1483,31
1484,34
1485,31
1486,29
1487,31
1488,33
1489,33
1490,32
1491,32
1492,32
1493,28
1494,29
1495,32
1496,34
1497,32
1498,31
1499,31
1500,32
1501,30
1502,30
1503,32
1504,31
1505,35
1506,31
1507,32
1508,33
1509,29
1510,31
1511,31
1512,30
1513,30
1514,30
1515,28
1516,30
1517,30
1518,30
1519,32
1520,33
1521,34
1522,31
1523,29
1524,28
1525,28
1526,28
1527,31
1528,30
1529,30
1530,29
1531,28
1532,29
1533,25
1534,24
1535,27
1536,24
1537,26
1538,24
1539,26
1540,24
1541,23
1542,27
1543,26
1544,24
1545,27
1546,25
1547,27
1548,25
1549,25
1550,27
1551,26
1552,26
1553,28
1554,28
1555,26
1556,31
1557,30
1558,30
1559,31
1560,31
1561,28
1562,28
1563,34
1564,29
1565,29
1566,29
1567,32
1568,32
1569,27
1570,25
1571,31
1572,31
1573,29
1574,33
1575,32
1576,27
1577,29
1578,26
1579,33
1580,31
1581,30
1582,28
1583,29
1584,27
1585,27
1586,26
1587,27
1588,29
1589,32
1590,29
1591,27
1592,29
1593,29
1594,30
1595,29
1596,30
1597,27
1598,28
1599,32
1600,28
1601,31
1602,26
1603,27
1604,33
1605,29
1606,31
1607,30
1608,30
1609,28
1610,30
1611,28
1612,27
1613,26
1614,26
1615,26
1616,26
1617,25
1618,28
1619,28
1620,32
1621,27
1622,31
1623,30
1624,26
1625,26
1626,26
1627,25
1628,26
1629,23
1630,27
1631,22
1632,23
1633,25
1634,24
1635,22
1636,20
1637,23
1638,22
1639,26
1640,25
1641,25
1642,23
1643,21
1644,21
1645,22
1646,24
1647,25
1648,25
1649,26
1650,26
1651,24
1652,21
1653,25
1654,23
1655,23
1656,21
1657,21
1658,20
1659,21
1660,22
1661,22
1662,26
1663,23
1664,22
1665,21
1666,23
1667,23
1668,27
1669,23
1670,22
1671,22
1672,23
1673,26
1674,25
1675,28
1676,26
1677,22
1678,23
1679,25
1680,28
1681,29
1682,28
1683,28
1684,26
1685,27
1686,30
1687,30
1688,28
1689,31
1690,25
1691,25
1692,26
1693,25
1694,23
1695,25
1696,27
1697,28
1698,22
1699,20
1700,22
1701,23
1702,24
1703,24
1704,23
1705,21
1706,23
1707,21
1708,22
1709,24
1710,23
1711,24
1712,23
1713,22
1714,22
1715,24
1716,22
1717,25
1718,25
1719,24
1720,24
1721,25
1722,23
1723,19
1724,18
1725,19
1726,20
1727,21
1728,23
1729,24
1730,24
1731,23
1732,29
1733,26
1734,28
1735,25
1736,24
1737,25
1738,21
1739,26
1740,24
1741,26
1742,30
1743,28
1744,29
1745,26
1746,24
1747,27
1748,27
1749,26
1750,25
1751,27
1752,27
1753,25
1754,24
1755,26
1756,25
1757,28
1758,28
1759,24
1760,26
1761,30
1762,29
1763,29
1764,26
1765,28
1766,27
1767,27
1768,29
1769,29
1770,27
1771,30
1772,29
1773,26
1774,27
1775,28
1776,28
1777,30
1778,30
1779,31
1780,32
1781,27
1782,28
1783,33
1784,30
1785,34
1786,30
1787,27
1788,30
1789,28
1790,28
1791,30
1792,29
1793,28
1794,30
1795,29
1796,25
1797,23
1798,23
1799,23
1800,22
1801,24
1802,24
1803,25
1804,24
1805,28
1806,26
1807,29
1808,27
1809,24
1810,23
1811,25
1812,22
1813,23
1814,26
1815,27
1816,23
1817,24
1818,23
1819,24
1820,26
1821,28
1822,22
1823,23
1824,23
1825,24
1826,24
1827,24
1828,27
1829,29
1830,25
1831,23
1832,24
1833,24
1834,27
1835,27
1836,29
1837,27
1838,25
1839,29
1840,30
1841,29
1842,28
1843,32
1844,28
1845,29
1846,28
1847,28
1848,25
1849,22
1850,23
1851,27
1852,28
1853,27
1854,25
1855,22
1856,23
1857,27
1858,26
1859,26
1860,26
1861,25
1862,22
1863,21
1864,24
1865,24
1866,24
1867,23
1868,25
1869,24
1870,25
1871,26
1872,27
1873,29
1874,27
1875,26
1876,26
1877,28
1878,25
1879,25
1880,26
1881,24
1882,25
1883,27
1884,27
1885,24
1886,26
1887,27
1888,24
1889,26
1890,25
1891,24
1892,23
1893,22
1894,22
1895,22
1896,18
1897,20
1898,21
1899,24
1900,25
1901,19
1902,23
1903,23
1904,24
1905,25
1906,23
1907,25
1908,23
1909,23
1910,22
1911,25
1912,21
1913,21
1914,21
1915,20
1916,20
1917,26
1918,26
1919,26
1920,26
1921,26
1922,28
1923,32
1924,29
1925,28
1926,26
1927,26
1928,29
1929,26
1930,27
1931,25
1932,31
1933,31
1934,30
1935,32
1936,30
1937,29
1938,31
1939,29
1940,30
1941,27
1942,30
1943,28
1944,26
1945,27
1946,30
1947,32
1948,32
1949,36
1950,34
1951,35
1952,34
1953,34
1954,35
1955,30
